發生時間,處理別,肇事地點,座標-X,座標-Y
2021/1/2 12:57,2,萬華區艋舺大道74號,121.5033756,25.03342298
2021/1/2 13:00,2,大安區金華街與潮州街55巷口,121.5242754,25.03051256
2021/1/2 13:09,2,信義區忠孝東路5段790巷24弄與忠孝東路5段790巷口,121.5827833,25.0424176
2021/1/2 13:18,2,大安區忠孝東路4段77巷與敦化南路1段190巷口,121.5472075,25.04262226
2021/1/2 13:34,2,北投區公館路與承德路7段口,121.5016208,25.11968142
2021/1/2 13:47,2,北投區東華街2段與東華街2段300巷口,121.506916,25.12091344
2021/1/2 14:00,2,松山區民權東路3段與復興北路口,121.544665,25.06224316
2021/1/2 14:15,2,南港區市民大道8段第097號燈桿,121.6116929,25.05397684
2021/1/2 15:18,2,士林區基河路與基河路188巷口,121.5222791,25.09038722
2021/1/2 15:59,2,萬華區東園街67巷與東園街67巷5弄口,121.4971291,25.0266295
2021/1/2 16:44,2,大安區新生南路2段與和平東路2段口,121.5349757,25.02600308
2021/1/2 16:50,2,中山區建國北路1段92巷與建國北路1段口口,121.5365246,25.05004289
2021/1/2 16:54,2,信義區忠孝東路4段559巷與忠孝東路4段553巷22弄口,121.5637025,25.04323871
2021/1/2 16:55,2,大安區仁愛路3段,121.5388472,25.03839915
2021/1/2 17:14,2,松山區三民路與南京東路5段251巷32弄口,121.5638595,25.0529458
2021/1/2 17:25,2,中正區中華路2段與廣州街口,121.5066138,25.03614649
2021/1/2 18:17,2,北投區行義路402巷15號,121.5298321,25.14150279
2021/1/2 18:31,2,大安區光復南路與光復南路676巷口,121.5573613,25.03056655
2021/1/2 19:00,2,中山區南京東路1段與新生北路2段口,121.5273416,25.05199055
2021/1/2 19:00,2,南港區忠孝東路7段325巷與忠孝東路7段口,121.6055008,25.05197523
2021/1/2 19:05,2,中山區中原街與錦州街口,121.5289066,25.06035182
2021/1/2 19:05,2,南港區同德路41號,121.5844667,25.04541434
2021/1/2 19:30,2,北投區竹子湖路17號燈桿,121.5479016,25.15431324
2021/1/2 19:45,2,南港區市民大道8段540號,121.6135667,25.05398639
2021/1/2 20:20,2,北投區光明路226號,121.505464,25.136002
2021/1/2 21:10,2,信義區吳興街269巷與吳興街口,121.563917,25.0268069
2021/1/2 21:21,2,士林區士商路88號,121.5195355,25.09136436
2021/1/2 22:00,2,士林區承德路4段與劍潭路口,121.5236165,25.08425619
2021/1/2 22:45,2,大安區市民大道4段20號,121.544671,25.044668
2021/1/2 22:55,2,內湖區成功路3段187巷與康寧路1段26巷口,121.5912462,25.08006683
2021/1/2 22:56,2,大同區通河西街1段堤外便道,121.519317,25.07719609
2021/1/2 23:22,2,大安區復興南路2段368號,121.5433545,25.02156933
2021/1/2 23:48,2,信義區信義路5段與基隆路2段口,121.5596487,25.03292873
2021/1/3 00:22,2,大同區承德路2段與民權西路口,121.5183515,25.06283221
2021/1/3 01:00,2,士林區格致路與菁山路口,121.5465545,25.1378937
2021/1/3 01:43,2,北投區中央北路2段與稻香路口,121.4911685,25.13863585
2021/1/3 07:20,2,內湖區文德路與文德路208巷口,121.5835507,25.07843172
2021/1/3 07:20,2,內湖區康樂街111巷與康樂街61巷口,121.6198,25.07069047
2021/1/3 07:49,2,文山區指南路1段與永安街口口,121.5700741,24.98771394
2021/1/3 08:08,2,信義區基隆路1段與松隆路口,121.5659277,25.04335823
2021/1/3 08:58,2,中山區新生北路2段與新生北路2段15巷口,121.5277925,25.05306808
2021/1/3 09:06,2,士林區光華路與格致路55巷口,121.5452416,25.13780188
2021/1/3 09:20,2,內湖區民權東路6段190巷65弄與民權東路6段190巷口,121.5943381,25.06573129
2021/1/3 09:22,2,內湖區潭美街775號,121.6087192,25.06314158
2021/1/3 09:50,2,信義區基隆路1段與東興路口,121.5670333,25.04591292
2021/1/3 09:55,2,內湖區民權東路6段123巷與民權東路6段180巷口,121.5927496,25.06883392
2021/1/3 10:54,2,大同區延平北路2段與保安街口,121.5114565,25.05899625
2021/1/3 11:23,2,大安區基隆路3段155巷與基隆路3段口,121.5425828,25.01576412
2021/1/3 11:32,2,萬華區康定路與康定路56巷口,121.502489,25.04268355
2021/1/3 11:38,2,士林區至誠路2段15號,121.5302815,25.10220439
2021/1/3 11:39,2,大安區大安路1段與四維路52巷口,121.5460048,25.03511253
2021/1/3 11:56,2,萬華區康定路與廣州街口,121.5014708,25.0365941
2021/1/3 12:06,2,信義區松智路與松勤街口,121.5654276,25.03198188
