"統計期","行政區別","機動車輛登記數/總計","機動車輛登記數/汽車/合計","機動車輛登記數/汽車/大型車自用","機動車輛登記數/汽車/大型車營業用","機動車輛登記數/汽車/小型車自用","機動車輛登記數/汽車/小型車營業用","機動車輛登記數/汽車/特種車","機動車輛登記數/機車","每千人持有汽車數","每千人持有機車數"
"112年 9月底","中正區",106540,51995,280,2629,38884,7683,2519,54545,347,364
"112年 9月底","大同區",85858,33177,167,209,29199,3436,166,52681,277,440
"112年 9月底","萬華區",121788,38245,169,94,34725,3039,218,83543,220,481
"112年 9月底","文山區",166165,66863,125,234,63822,2064,618,99302,257,382
"112年 9月底","南港區",82813,36586,162,179,30338,5766,141,46227,321,406
"112年 9月底","內湖區",217152,113122,544,1596,82812,27628,542,104030,410,377
"112年 9月底","士林區",177913,70395,260,1321,66011,2421,382,107518,264,403
"112年 9月底","北投區",164945,62064,171,254,58949,2222,468,102881,256,425
"112年 10月底","總計",1778055,835523,4176,9826,640373,171809,9339,942532,333,376
"112年 10月底","松山區",131474,67679,417,785,50217,15941,319,63795,351,331
"112年 10月底","信義區",136115,61173,271,352,49433,9015,2102,74942,296,363
"112年 10月底","大安區",186980,115277,580,307,71952,41618,820,71703,396,246
"112年 10月底","中山區",200579,118789,964,1846,64153,50796,1030,81790,550,379
"112年 10月底","中正區",106231,51828,265,2623,38755,7679,2506,54403,346,363
"112年 10月底","大同區",85866,33225,167,207,29243,3441,167,52641,277,439
"112年 10月底","萬華區",121662,38203,171,94,34683,3039,216,83459,220,480
"112年 10月底","文山區",166201,66887,125,239,63811,2094,618,99314,257,382
"112年 10月底","南港區",82914,36729,160,179,30381,5869,140,46185,322,405
"112年 10月底","內湖區",217449,113370,626,1609,82912,27652,571,104079,411,377
"112年 10月底","士林區",177738,70359,259,1332,65961,2426,381,107379,264,402
"112年 10月底","北投區",164846,62004,171,253,58872,2239,469,102842,256,425
"112年 11月底","總計",1778401,836551,4177,9875,640645,172437,9417,941850,333,375
"112年 11月底","松山區",128090,64535,302,781,50283,12836,333,63555,334,329
"112年 11月底","信義區",136105,61248,273,353,49472,9035,2115,74857,296,362
"112年 11月底","大安區",187189,115565,568,331,71989,41749,928,71624,397,246
"112年 11月底","中山區",204092,122421,1082,1858,64225,54221,1035,81671,566,378
"112年 11月底","中正區",106102,51807,268,2603,38712,7688,2536,54295,345,362
"112年 11月底","大同區",85861,33265,169,209,29228,3492,167,52596,278,439
"112年 11月底","萬華區",121586,38240,173,94,34710,3045,218,83346,220,480
"112年 11月底","文山區",166182,66820,126,243,63835,2104,512,99362,257,382
"112年 11月底","南港區",82886,36653,159,169,30390,5794,141,46233,322,406
"112年 11月底","內湖區",217715,113633,631,1650,82997,27772,583,104082,412,377
"112年 11月底","士林區",177584,70285,255,1325,65893,2432,380,107299,263,402
"112年 11月底","北投區",165009,62079,171,259,58911,2269,469,102930,256,425
"112年 12月底","總計",1777720,836911,4178,9911,639994,173389,9439,940809,333,375
"112年 12月底","松山區",127612,64051,294,780,50027,12618,332,63561,331,329
"112年 12月底","信義區",135894,61188,273,350,49424,9046,2095,74706,296,361
"112年 12月底","大安區",187033,115453,570,335,71870,41740,938,71580,396,245
"112年 12月底","中山區",204710,123121,1089,1860,64174,54903,1095,81589,569,377
"112年 12月底","中正區",105844,51735,267,2601,38664,7698,2505,54109,345,360
"112年 12月底","大同區",85822,33255,164,209,29176,3537,169,52567,277,438
"112年 12月底","萬華區",121446,38177,173,95,34652,3040,217,83269,220,480
"112年 12月底","文山區",166115,66842,127,249,63855,2103,508,99273,257,381
"112年 12月底","南港區",82787,36653,159,170,30370,5811,143,46134,322,405
"112年 12月底","內湖區",218036,114032,634,1670,82975,28160,593,104004,413,377
"112年 12月底","士林區",177446,70277,258,1331,65876,2436,376,107169,263,401
"112年 12月底","北投區",164975,62127,170,261,58931,2297,468,102848,256,424
"113年 1月底","總計",1776449,837653,4159,9850,639833,174359,9452,938796,334,374
"113年 1月底","松山區",127197,64044,290,739,50015,12668,332,63153,331,326
"113年 1月底","信義區",135770,61232,273,352,49448,9069,2090,74538,296,361
"113年 1月底","大安區",187041,115661,569,336,71889,41925,942,71380,397,245
"113年 1月底","中山區",204823,123486,1087,1859,64150,55276,1114,81337,571,376
"113年 1月底","中正區",105706,51773,260,2610,38659,7756,2488,53933,345,359
"113年 1月底","大同區",85807,33361,162,208,29193,3626,172,52446,278,437
"113年 1月底","萬華區",121221,38100,172,93,34580,3038,217,83121,220,479
"113年 1月底","文山區",166049,66850,125,250,63862,2107,506,99199,257,381
"113年 1月底","南港區",82634,36566,159,169,30367,5729,142,46068,321,404
"113年 1月底","內湖區",218178,114284,631,1651,82988,28412,602,103894,414,376
"113年 1月底","士林區",177199,70265,259,1322,65864,2443,377,106934,263,401
"113年 1月底","北投區",164824,62031,172,261,58818,2310,470,102793,256,424
"113年 2月底","總計",1775355,837206,4156,9846,639082,174682,9440,938149,333,374
"113年 2月底","松山區",127112,64031,288,745,49937,12728,333,63081,331,326
"113年 2月底","信義區",135666,61176,272,347,49410,9064,2083,74490,296,361
"113年 2月底","大安區",186906,115584,572,337,71781,41960,934,71322,396,244
"113年 2月底","中山區",204666,123463,1084,1854,64092,55317,1116,81203,571,376
"113年 2月底","中正區",105645,51740,258,2608,38629,7764,2481,53905,345,359
"113年 2月底","大同區",85673,33310,159,207,29128,3644,172,52363,278,437
"113年 2月底","萬華區",121146,38063,172,89,34550,3038,214,83083,220,480
"113年 2月底","文山區",166076,66868,124,248,63856,2116,524,99208,257,381
"113年 2月底","南港區",82560,36563,160,170,30327,5756,150,45997,321,404
"113年 2月底","內湖區",218161,114321,637,1656,82910,28528,590,103840,414,376
"113年 2月底","士林區",176997,70129,259,1322,65736,2440,372,106868,263,401
"113年 2月底","北投區",164747,61958,171,263,58726,2327,471,102789,256,424
"113年 3月底","總計",1775287,837969,4142,9827,638887,175682,9431,937318,334,373
"113年 3月底","松山區",127323,64108,288,738,49997,12749,336,63215,331,326
"113年 3月底","信義區",135560,61162,270,348,49356,9105,2083,74398,296,361
"113年 3月底","大安區",187215,116027,562,316,71821,42403,925,71188,398,244
"113年 3月底","中山區",204749,123650,1080,1860,64072,55548,1090,81099,572,375
"113年 3月底","中正區",105467,51735,248,2609,38612,7784,2482,53732,344,358
"113年 3月底","大同區",85612,33342,158,212,29102,3696,174,52270,278,436
"113年 3月底","萬華區",121032,38013,174,90,34490,3043,216,83019,220,480
"113年 3月底","文山區",166065,66836,124,254,63819,2115,524,99229,257,381
"113年 3月底","南港區",82397,36456,160,169,30291,5687,149,45941,320,404
"113年 3月底","內湖區",218349,114640,646,1652,83009,28732,601,103709,415,376
"113年 3月底","士林區",176748,69995,260,1318,65589,2452,376,106753,263,400
"113年 3月底","北投區",164770,62005,172,261,58729,2368,475,102765,256,424
"113年 4月底","總計",1774793,838002,4128,9831,638408,176132,9503,936791,334,373
"113年 4月底","松山區",127514,64128,296,735,49974,12788,335,63386,331,327
"113年 4月底","信義區",135569,61143,264,338,49293,9079,2169,74426,296,361
"113年 4月底","大安區",187326,116192,561,317,71827,42565,922,71134,398,244
"113年 4月底","中山區",204532,123571,1064,1863,64035,55526,1083,80961,572,375
"113年 4月底","中正區",105398,51745,242,2607,38573,7850,2473,53653,344,357
"113年 4月底","大同區",85584,33314,159,211,29055,3714,175,52270,278,436
"113年 4月底","萬華區",120920,38015,177,93,34478,3052,215,82905,220,479
"113年 4月底","文山區",165906,66758,126,258,63726,2124,524,99148,257,381
"113年 4月底","南港區",82231,36350,159,167,30235,5641,148,45881,320,404
"113年 4月底","內湖區",218449,114831,651,1661,82960,28949,610,103618,416,376
"113年 4月底","士林區",176582,69968,259,1316,65563,2454,376,106614,263,400
"113年 4月底","北投區",164782,61987,170,265,58689,2390,473,102795,256,425
"113年 5月底","總計",1775038,838625,4112,9784,638572,176625,9532,936413,334,373
"113年 5月底","松山區",127354,64194,295,731,50029,12806,333,63160,332,326
"113年 5月底","信義區",135358,61142,264,331,49293,9071,2183,74216,297,360
"113年 5月底","大安區",187629,116493,557,315,71948,42741,932,71136,399,244
"113年 5月底","中山區",204579,123719,1059,1867,64078,55630,1085,80860,573,374
"113年 5月底","中正區",105769,51767,241,2606,38568,7862,2490,54002,345,360
"113年 5月底","大同區",85476,33318,159,212,29041,3733,173,52158,278,435
"113年 5月底","萬華區",120810,37998,174,91,34472,3047,214,82812,220,479
"113年 5月底","文山區",166048,66791,126,252,63777,2117,519,99257,257,382
"113年 5月底","南港區",82070,36240,160,166,30174,5590,150,45830,319,403
"113年 5月底","內湖區",218685,115067,650,1661,82998,29153,605,103618,417,376
"113年 5月底","士林區",176481,69894,259,1292,65514,2458,371,106587,263,400
"113年 5月底","北投區",164779,62002,168,260,58680,2417,477,102777,256,425
"113年 6月底","總計",1776757,840485,4101,9782,639059,177996,9547,936272,335,373
"113年 6月底","松山區",127797,64311,297,728,50061,12891,334,63486,332,328
"113年 6月底","信義區",135388,61169,263,320,49373,9037,2176,74219,297,360
"113年 6月底","大安區",188305,117183,550,316,71973,43423,921,71122,402,244
"113年 6月底","中山區",204719,123999,1057,1852,64073,55922,1095,80720,574,374
"113年 6月底","中正區",105813,51852,239,2616,38609,7877,2511,53961,346,360
"113年 6月底","大同區",85440,33373,160,210,29061,3767,175,52067,279,435
"113年 6月底","萬華區",120760,38006,174,91,34476,3049,216,82754,220,479
"113年 6月底","文山區",166119,66894,128,250,63869,2135,512,99225,257,382
"113年 6月底","南港區",82061,36277,160,166,30177,5624,150,45784,320,403
"113年 6月底","內湖區",219079,115461,654,1678,83155,29374,600,103618,419,376
"113年 6月底","士林區",176472,69928,253,1293,65542,2470,370,106544,263,400
"113年 6月底","北投區",164804,62032,166,262,58690,2427,487,102772,256,425
"113年 7月底","總計",1776540,841646,4092,9786,638711,179488,9569,934894,336,373
"113年 7月底","松山區",127668,64342,296,723,50035,12953,335,63326,333,328
"113年 7月底","信義區",135327,61209,265,314,49403,9047,2180,74118,297,360
"113年 7月底","大安區",188214,117279,552,319,71794,43690,924,70935,403,243
"113年 7月底","中山區",205115,124640,1047,1847,63959,56690,1097,80475,577,373
"113年 7月底","中正區",105769,51881,234,2641,38608,7893,2505,53888,346,360
"113年 7月底","大同區",85352,33454,160,210,29088,3821,175,51898,280,434
"113年 7月底","萬華區",120610,37967,174,89,34421,3059,224,82643,220,479
"113年 7月底","文山區",166177,66949,128,251,63895,2159,516,99228,258,382
"113年 7月底","南港區",82061,36302,163,166,30204,5618,151,45759,320,404
"113年 7月底","內湖區",219213,115665,652,1674,83107,29632,600,103548,420,376
"113年 7月底","士林區",176312,69930,255,1291,65515,2494,375,106382,263,400
"113年 7月底","北投區",164722,62028,166,261,58682,2432,487,102694,257,425
"113年 8月底","總計",1774115,840391,4064,9780,637563,179436,9548,933724,336,373
"113年 8月底","松山區",127658,64326,293,726,49948,13026,333,63332,333,328
"113年 8月底","信義區",135172,61112,268,313,49332,9020,2179,74060,297,360
"113年 8月底","大安區",188144,117300,542,302,71759,43778,919,70844,403,244
"113年 8月底","中山區",204459,124066,1043,1829,63784,56298,1112,80393,575,373
"113年 8月底","中正區",105104,51789,231,2655,38499,7911,2493,53315,347,357
"113年 8月底","大同區",85286,33442,160,210,29071,3834,167,51844,280,434
"113年 8月底","萬華區",120474,37973,172,88,34393,3094,226,82501,220,478
"113年 8月底","文山區",166109,66875,126,252,63811,2170,516,99234,258,382
"113年 8月底","南港區",81947,36241,164,168,30122,5635,152,45706,320,403
"113年 8月底","內湖區",218918,115482,650,1669,82849,29720,594,103436,420,376
"113年 8月底","士林區",176221,69870,250,1303,65440,2503,374,106351,263,400
"113年 8月底","北投區",164623,61915,165,265,58555,2447,483,102708,256,425
"113年 9月底","總計",1773761,840819,4055,9789,636899,180469,9607,932942,337,373
"113年 9月底","松山區",127556,64321,292,721,49870,13093,345,63235,334,329
"113年 9月底","信義區",135130,61133,267,316,49348,9026,2176,73997,297,360
"113年 9月底","大安區",188170,117445,539,296,71642,44004,964,70725,404,244
"113年 9月底","中山區",204595,124327,1040,1835,63714,56622,1116,80268,576,372
"113年 9月底","中正區",104866,51662,228,2664,38356,7920,2494,53204,347,357
"113年 9月底","大同區",85207,33508,161,210,29051,3917,169,51699,281,433
"113年 9月底","萬華區",120392,37978,173,88,34401,3090,226,82414,220,478
"113年 9月底","文山區",166090,66879,126,254,63808,2179,512,99211,258,383
"113年 9月底","南港區",81854,36122,164,169,30037,5599,153,45732,319,404
"113年 9月底","內湖區",219086,115683,648,1671,82732,30035,597,103403,421,377
"113年 9月底","士林區",176128,69862,250,1333,65387,2516,376,106266,264,401
"113年 9月底","北投區",164687,61899,167,232,58553,2468,479,102788,256,426
"113年 10月底","總計",1771986,840304,4056,9771,636024,180864,9589,931682,337,373
"113年 10月底","松山區",127413,64307,291,719,49797,13154,346,63106,335,328
"113年 10月底","信義區",135118,61187,264,306,49326,9099,2192,73931,298,360
"113年 10月底","大安區",188153,117566,534,295,71596,44210,931,70587,405,243
"113年 10月底","中山區",204424,124292,1036,1832,63598,56710,1116,80132,577,372
"113年 10月底","中正區",104587,51560,235,2675,38251,7913,2486,53027,347,357
"113年 10月底","大同區",85088,33464,162,207,29006,3921,168,51624,281,433
"113年 10月底","萬華區",120139,37903,173,87,34327,3090,226,82236,220,478
"113年 10月底","文山區",165994,66808,125,248,63741,2187,507,99186,258,383
"113年 10月底","南港區",81699,36055,166,169,30024,5544,152,45644,319,404
"113年 10月底","內湖區",219048,115666,648,1672,82673,30063,610,103382,422,377
"113年 10月底","士林區",175878,69746,256,1333,65281,2501,375,106132,263,401
"113年 10月底","北投區",164445,61750,166,228,58404,2472,480,102695,256,426

