路口名稱,方向,標誌型式,標誌內容,附牌,座標X-TWD97,座標Y-TWD97,經度座標X-WGS84,緯度座標Y-WGS84
北市松山區南京東路五段(堤頂交流道 內湖科技園區)318號,,禁止,06禁止大客車、大貨車及聯結車進入,,307433.93,2771572.28,121.569221,25.05122605
北市松山區南京東路五段(堤頂交流道 內湖科技園區)318號,,禁止,18禁止左轉,,307505.33,2771583.95,121.5699291,25.05132871
民生東路五段27巷9弄,,禁止,04禁止大貨車及聯結車進入,,306019.86,2772293.14,121.5552362,25.05778695
民生東路五段27巷9弄,,禁止,18禁止左轉,,306020,2772291.53,121.5552375,25.05777237
民生東路五段27巷9弄,,禁止,17禁止右轉,,306019.45,2772294.62,121.5552321,25.05780031
民生東路五段27巷9弄,,禁止,04禁止大貨車及聯結車進入,,306039.74,2772164.37,121.5554279,25.05662369
民生東路五段27巷9弄,,禁止,17禁止右轉,,305998.91,2772520.7,121.5550377,25.05984208
民生東路五段27巷9弄,,禁止,18禁止左轉,,305980.34,2772527.75,121.554854,25.05990646
民生東路五段27巷9弄,往北,禁止,04禁止大貨車及聯結車進入,,306071.28,2772128.22,121.5557391,25.05629614
民生東路五段27巷9弄,,禁止,04禁止大貨車及聯結車進入,,306298.79,2771622.24,121.5579732,25.05171981
民生東路五段27巷9弄,,禁止,18禁止左轉,,306281.65,2771330.84,121.5577915,25.04908969
民生東路五段27巷9弄,,禁止,22禁止迴車,,306290.26,2771244.74,121.5578733,25.0483121
民生東路五段27巷9弄,,禁止,18禁止左轉,,306285.11,2771346.06,121.5578263,25.04922698
民生東路五段27巷9弄,,禁止,18禁止左轉,,306288.22,2771346.34,121.5578572,25.04922941
民生東路五段27巷9弄,,禁止,17禁止右轉,,306277.32,2771330.55,121.5577486,25.04908726
民生東路五段27巷9弄,,禁止,18禁止左轉,,306280.39,2771243.49,121.5577754,25.04830117
民生東路五段27巷9弄,,禁止,17禁止右轉,,306258.44,2770348.45,121.5575214,25.04022164
民生東路五段27巷9弄,,禁止,18禁止左轉,,306273.44,2770454.43,121.5576743,25.04117788
民生東路五段27巷9弄,,禁止,04禁止大貨車及聯結車進入,,306249.26,2770147.74,121.5574221,25.03840998
民生東路五段27巷9弄,,禁止,18禁止左轉,,306264.23,2770093.56,121.5575683,25.0379203
民生東路五段27巷9弄,,禁止,18禁止左轉,,306260.8,2770035.96,121.5575319,25.03740043
民生東路五段27巷9弄,,禁止,18禁止左轉,,306280.6,2771219.53,121.5577765,25.04808484
民生東路五段27巷9弄,,禁止,22禁止迴車,,306287.2,2771220.78,121.5578419,25.04809584
民生東路五段27巷9弄,,禁止,18禁止左轉,,306265.71,2770128.83,121.5575844,25.03823865
民生東路五段27巷9弄,,禁止,22禁止迴車,,306266.2,2770140.81,121.5575898,25.03834679
民生東路五段27巷9弄,,禁止,22禁止迴車,,306266.06,2770141.62,121.5575884,25.03835408
北市信義區仁愛路四段424號,,禁止,18禁止左轉,,306259.4,2769697.13,121.5575042,25.03434159
北市信義區仁愛路四段424號,,禁止,03禁止機踏車進入,,306259.4,2769696.13,121.5575042,25.03433248
北市信義區仁愛路四段424號,,禁止,22禁止迴車,,306257.48,2769807.72,121.5574898,25.03534001
北市信義區仁愛路四段424號,,禁止,22禁止迴車,,306259,2769660.73,121.5574989,25.0340129
北市信義區仁愛路四段424號,,禁止,17禁止右轉,,306261.74,2769807.94,121.557532,25.03534183
北市信義區仁愛路四段424號,,禁止,18禁止左轉,,306261,2770037.88,121.557534,25.03741773
北市大安區光復南路580號,,禁止,18禁止左轉,,306257.2,2769536.26,121.5574759,25.03288928
北市信義區基隆路二段96號,,禁止,17禁止右轉,,306254.95,2769206.85,121.5574402,25.02991551
北市信義區基隆路二段96號,,禁止,17禁止右轉,,306248.37,2769162.14,121.5573731,25.02951208
延吉街,,禁止,17禁止右轉,,306178.85,2770454.24,121.5567369,25.04117962
延吉街,,禁止,04禁止大貨車及聯結車進入,,306163.88,2770440.85,121.5565881,25.04105933
內湖路一段,往北,禁止,18禁止左轉,,306596,2775252.36,121.561068,25.08448096
內湖路一段,往北,禁止,18禁止左轉,,306580.25,2775259.03,121.5609121,25.08454169
內湖路一段,往北,禁止,17禁止右轉,,306523.04,2775253.54,121.5603448,25.08449432
內湖路一段,往北,禁止,18禁止左轉,,306575.59,2775273,121.5608665,25.08466801
內湖路一段,往北,禁止,01禁止任何車輛進入,,306616.79,2775244.77,121.5612738,25.08441164
內湖路一段,往北,禁止,01禁止任何車輛進入,,306605.02,2775233.1,121.5611566,25.08430669
內湖路一段,往北,禁止,18禁止左轉,,307320.47,2775001.38,121.5682394,25.08218781
內湖路一段,往北,禁止,18禁止左轉,,307191.45,2774989.94,121.5669599,25.08208942
內湖路一段,往北,禁止,18禁止左轉,,307320.65,2774989.54,121.5682407,25.08208092
內湖路一段,往北,禁止,22禁止迴車,,307191.5,2775011.47,121.5669613,25.08228376
內湖路一段,往北,禁止,22禁止迴車,,307175.67,2775012.08,121.5668044,25.08228984
內湖路一段,往北,禁止,04禁止大貨車及聯結車進入,,307516.87,2774969.97,121.5701849,25.08189674
內湖路一段,往北,禁止,18禁止左轉,,307344.6,2774993.28,121.5684782,25.08211377
內湖路一段,往北,禁止,02禁止汽車進入,,307955.11,2774795.46,121.5745219,25.08030458
內湖路一段,往北,禁止,18禁止左轉,,307738.04,2774875.16,121.5723734,25.08103235
內湖路一段,往北,禁止,02禁止汽車進入,,307955.11,2774795.66,121.5745219,25.0803064
內湖路一段,往北,禁止,22禁止迴車,,307728.4,2774882.65,121.5722782,25.08110037
內湖路一段,往北,禁止,02禁止汽車進入,,308329.78,2774637.78,121.5782292,25.07886659
內湖路一段,往北,禁止,17禁止右轉,,308337.35,2774638.62,121.5783043,25.07887388
內湖路一段,往北,禁止,02禁止汽車進入,,308330.04,2774638.45,121.5782319,25.07887266
內湖路一段,往北,禁止,18禁止左轉,,308459.67,2774602,121.5795153,25.07853863
內湖路一段,往北,禁止,17禁止右轉,,308320.84,2774638.88,121.5781407,25.07887691
內湖路一段,往北,禁止,18禁止左轉,,308321.11,2774640.77,121.5781433,25.07889392
內湖路一段,往北,禁止,18禁止左轉,,308336.55,2774636.73,121.5782962,25.07885687
內湖路一段,往北,禁止,22禁止迴車,,308399.04,2774607.93,121.5789145,25.0785945
內湖路一段,往北,禁止,03_1禁止大客車進入,,308331.06,2774653.79,121.5782426,25.07901114
內湖路一段,往北,禁止,01禁止任何車輛進入,,308483.31,2774600.84,121.5797495,25.07852717
內湖路一段,往北,禁止,01禁止任何車輛進入,,308865.86,2774599.3,121.5835416,25.07849844
內湖路一段,往北,禁止,17禁止右轉,,308641.56,2774579.51,121.5813173,25.0783285
內湖路一段,往北,禁止,01禁止任何車輛進入,,308875.11,2774603.78,121.5836334,25.07853853
內湖路一段,往北,禁止,01禁止任何車輛進入,,309315.5,2774622.59,121.5879997,25.07869107
北安路,往北,禁止,18禁止左轉,,304222.99,2774500.52,121.5375142,25.07778044
北安路,往北,禁止,22禁止迴車,,303381.62,2774505.19,121.5291741,25.07785261
北安路,往北,禁止,01禁止任何車輛進入,,303418.2,2774525.92,121.5295376,25.07803846
北市中山區大直高中,往北,禁止,16車道禁止進入,,304960.16,2774719.23,121.5448303,25.07972833
北市中山區大直高中,往北,禁止,22禁止迴車,,304789.06,2774707.51,121.5431338,25.07962872
北市中山區北安路561號,往北,禁止,22禁止迴車,,305299.04,2774819.32,121.5481936,25.08061959
北市中山區北安路561號,往北,禁止,17禁止右轉,,305295.13,2774796.41,121.5481539,25.08041285
北市中山區北安路623號,往北,禁止,17禁止右轉,,305383.14,2775061.81,121.549037,25.0828056
北市中山區北安路623號,往北,禁止,18禁止左轉,,305411.64,2775197.01,121.5493249,25.08402513
北市中山區北安路623號,往北,禁止,01禁止任何車輛進入,,305368.49,2775070.96,121.5488922,25.0828888
北市中山區北安路659號,往北,禁止,18禁止左轉,,305746.16,2775387.39,121.5526489,25.08573158
北市中山區北安路659號,往北,禁止,18禁止左轉,,305421.98,2775244.37,121.5494294,25.08445235
北市中山區北安路765-1號,往北,禁止,18禁止左轉,,305867.6,2775351.15,121.5538512,25.08539993
北市中山區北安路765-1號,往北,禁止,18禁止左轉,,305744.06,2775364.23,121.5526271,25.0855226
北市中山區北安路765-1號,往北,禁止,18禁止左轉,,305741.14,2775384.87,121.552599,25.08570904
